"Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Well","Plate","Complexity"
1,0,1,0,1,0,1,1,"F3",4,5
1,0,0,0,1,1,1,1,"F4",4,5
0,1,1,1,0,0,1,1,"F5",4,5
0,1,0,1,1,1,0,1,"F6",4,5
0,0,1,1,1,0,1,1,"F7",4,5
1,1,1,1,1,0,0,1,"F8",4,6
1,1,1,0,1,0,1,1,"F9",4,6
1,0,1,1,1,1,1,0,"G10",4,6
0,1,1,1,1,1,1,0,"G11",4,6
1,0,1,1,0,1,1,0,"G2",4,5
1,0,1,0,0,1,1,1,"G3",4,5
0,1,1,1,1,1,0,0,"G4",4,5
0,1,1,0,1,1,1,0,"G5",4,5
0,1,0,1,1,0,1,1,"G6",4,5
0,0,1,1,0,1,1,1,"G7",4,5
1,1,1,1,0,1,1,0,"G8",4,6
1,1,1,0,0,1,1,1,"G9",4,6
0,1,1,1,1,1,0,1,"B2",5,6
1,1,1,1,1,1,1,0,"B3",5,7
1,0,1,1,1,1,1,1,"B4",5,7
0,1,1,1,1,0,1,1,"C2",5,6
1,1,1,1,1,1,0,1,"C3",5,7
0,1,1,1,1,1,1,1,"C4",5,7
0,1,1,1,0,1,1,1,"D2",5,6
1,1,1,1,1,0,1,1,"D3",5,7
1,1,1,1,1,1,1,1,"D4",5,8
0,1,1,0,1,1,1,1,"E2",5,6
1,1,1,1,0,1,1,1,"E3",5,7
0,1,0,1,1,1,1,1,"F2",5,6
1,1,1,0,1,1,1,1,"F3",5,7
0,0,1,1,1,1,1,1,"G2",5,6
1,1,0,1,1,1,1,1,"G3",5,7
0,0,0,0,0,0,0,0,"B5",5,0
0,0,0,0,0,0,0,0,"B6",5,0
0,0,0,0,0,0,0,0,"B7",5,0
0,0,0,0,0,0,0,0,"B8",5,0
0,0,0,0,0,0,0,0,"B9",5,0
0,0,0,0,0,0,0,0,"B10",5,0
0,0,0,0,0,0,0,0,"B11",5,0
0,0,0,0,0,0,0,0,"C5",5,0
0,0,0,0,0,0,0,0,"C6",5,0
0,0,0,0,0,0,0,0,"C7",5,0
0,0,0,0,0,0,0,0,"C8",5,0
0,0,0,0,0,0,0,0,"C9",5,0
0,0,0,0,0,0,0,0,"C10",5,0
0,0,0,0,0,0,0,0,"C11",5,0
0,0,0,0,0,0,0,0,"D5",5,0
0,0,0,0,0,0,0,0,"D6",5,0
0,0,0,0,0,0,0,0,"D7",5,0
0,0,0,0,0,0,0,0,"D8",5,0
0,0,0,0,0,0,0,0,"D9",5,0
0,0,0,0,0,0,0,0,"D10",5,0
0,0,0,0,0,0,0,0,"D11",5,0
0,0,0,0,0,0,0,0,"E4",5,0
0,0,0,0,0,0,0,0,"E5",5,0
0,0,0,0,0,0,0,0,"E6",5,0
0,0,0,0,0,0,0,0,"E7",5,0
0,0,0,0,0,0,0,0,"E8",5,0
0,0,0,0,0,0,0,0,"E9",5,0
0,0,0,0,0,0,0,0,"E10",5,0
0,0,0,0,0,0,0,0,"E11",5,0
0,0,0,0,0,0,0,0,"F4",5,0
0,0,0,0,0,0,0,0,"F5",5,0
0,0,0,0,0,0,0,0,"F6",5,0
0,0,0,0,0,0,0,0,"F7",5,0
0,0,0,0,0,0,0,0,"F8",5,0
0,0,0,0,0,0,0,0,"F9",5,0
0,0,0,0,0,0,0,0,"F10",5,0
0,0,0,0,0,0,0,0,"F11",5,0
0,0,0,0,0,0,0,0,"G4",5,0
0,0,0,0,0,0,0,0,"G5",5,0
0,0,0,0,0,0,0,0,"G6",5,0
0,0,0,0,0,0,0,0,"G7",5,0
0,0,0,0,0,0,0,0,"G8",5,0
0,0,0,0,0,0,0,0,"G9",5,0
0,0,0,0,0,0,0,0,"G10",5,0
0,0,0,0,0,0,0,0,"G11",5,0
