"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null_model"
"100",0,0,0,0,1,0,1,0,41.4497572859624,43.5330468638948,42.8858064449281,43.7782294095084,49.6210236351498,46.7768492049913,0.830465722095592,0.972120969013799,1.12349254921045,0.916816912079491,2,"57",FALSE,4
"100",0,0,0,0,1,0,0,1,44.1579876782163,47.4983538902763,46.3805544839358,43.7782294095084,49.6210236351498,46.7768492049913,0.867987592002912,1.0385402921293,1.24800348259159,0.991527973179237,2,"58",FALSE,4
"100",0,0,0,0,0,1,1,0,43.13021257007,47.329433678512,45.6509346449096,43.7782294095084,49.6210236351498,46.7768492049913,0.863698019582576,1.00029634201463,1.15005248261925,0.975930089794043,2,"67",FALSE,4
"100",0,0,0,0,0,1,0,1,44.485941290644,47.9831757662987,46.6545214315054,43.7782294095084,49.6210236351498,46.7768492049913,0.855120592586731,1.00721947071307,1.19863568867687,0.997384865044033,2,"68",FALSE,4
"100",0,0,0,0,0,0,1,1,43.2100333428645,45.7975526233358,44.4588667543032,43.7782294095084,49.6210236351498,46.7768492049913,0.871359210933075,1.02782894787737,1.22126812994199,0.950445947299059,2,"78",FALSE,4
"100",1,1,1,0,0,0,0,0,47.252578693079,49.8465614728569,48.3018669331743,43.7782294095084,49.6210236351498,46.7768492049913,0.820356744073092,1.08393606957122,1.40384781965476,1.0326019762789,3,"123",FALSE,4
"100",1,1,0,1,0,0,0,0,46.4801438394745,49.1686587991049,47.4835698121342,43.7782294095084,49.6210236351498,46.7768492049913,0.796066351022273,1.04765785418742,1.3553680730818,1.01510834139439,3,"124",FALSE,4
"100",1,1,0,0,1,0,0,0,43.0710526491837,47.0963551190972,45.1605773555814,43.7782294095084,49.6210236351498,46.7768492049913,0.734257089303523,1.00580551970082,1.34606757228956,0.965447184304209,3,"125",FALSE,4
"100",1,1,0,0,0,1,0,0,47.0827672373932,48.6093401211718,47.6215079734539,43.7782294095084,49.6210236351498,46.7768492049913,0.79664522662744,1.04477142794466,1.35414045952123,1.01805719672911,3,"126",FALSE,4
"100",1,1,0,0,0,0,1,0,43.830992720029,47.8328857313805,45.4941124290043,43.7782294095084,49.6210236351498,46.7768492049913,0.786779792812277,1.07926426185836,1.42496865159937,0.972577529316572,3,"127",FALSE,4
"100",1,1,0,0,0,0,0,1,44.5544497415128,49.5559331652876,47.5263998586327,43.7782294095084,49.6210236351498,46.7768492049913,0.780697606505069,1.12038207818562,1.55468075395881,1.01602396626495,3,"128",FALSE,4
"100",1,0,1,1,0,0,0,0,46.3572833631166,48.8041353900187,47.6713479915515,43.7782294095084,49.6210236351498,46.7768492049913,0.784292312974458,1.02553363661353,1.31550336545095,1.01912268144954,3,"134",FALSE,4
