"PlateTrue","Rep","Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","PlateWell","TruePlateWell","AUC"
2,1,"74",1,0,1,1,0,1,0,0,4,"2B10","2B10",34.3827111454957
7,2,"74",1,0,1,1,0,1,0,0,4,"2B10","7B10",34.6921535056016
12,3,"74",1,0,1,1,0,1,0,0,4,"2B10","12B10",27.0767713724106
17,4,"74",1,0,1,1,0,1,0,0,4,"2B10","17B10",27.4929887108758
2,1,"74",1,0,1,0,0,1,1,0,4,"2B11","2B11",30.1452642157389
7,2,"74",1,0,1,0,0,1,1,0,4,"2B11","7B11",22.8217939838536
12,3,"74",1,0,1,0,0,1,1,0,4,"2B11","12B11",25.1502354660666
17,4,"74",1,0,1,0,0,1,1,0,4,"2B11","17B11",24.9521303114679
2,1,"74",0,1,1,0,0,0,1,0,3,"2B2","2B2",27.3680588347489
7,2,"74",0,1,1,0,0,0,1,0,3,"2B2","7B2",25.0096987304186
12,3,"74",0,1,1,0,0,0,1,0,3,"2B2","12B2",25.17457926061
17,4,"74",0,1,1,0,0,0,1,0,3,"2B2","17B2",27.2100241732095
2,1,"74",0,1,0,0,1,1,0,0,3,"2B3","2B3",24.2542730293717
7,2,"74",0,1,0,0,1,1,0,0,3,"2B3","7B3",21.9756510992437
12,3,"74",0,1,0,0,1,1,0,0,3,"2B3","12B3",22.3857156825825
17,4,"74",0,1,0,0,1,1,0,0,3,"2B3","17B3",25.143817591205
2,1,"74",0,0,1,1,1,0,0,0,3,"2B4","2B4",24.3743593258313
7,2,"74",0,0,1,1,1,0,0,0,3,"2B4","7B4",21.9938443351276
12,3,"74",0,0,1,1,1,0,0,0,3,"2B4","12B4",23.0873432478928
17,4,"74",0,0,1,1,1,0,0,0,3,"2B4","17B4",26.0123869397468
2,1,"74",0,0,1,0,1,0,0,1,3,"2B5","2B5",26.2356301763824
7,2,"74",0,0,1,0,1,0,0,1,3,"2B5","7B5",25.7422199970843
12,3,"74",0,0,1,0,1,0,0,1,3,"2B5","12B5",24.8904108461109
17,4,"74",0,0,1,0,1,0,0,1,3,"2B5","17B5",29.9241196216284
2,1,"74",0,0,0,1,1,0,0,1,3,"2B6","2B6",26.1216610792196
7,2,"74",0,0,0,1,1,0,0,1,3,"2B6","7B6",25.7613405507194
12,3,"74",0,0,0,1,1,0,0,1,3,"2B6","12B6",26.1274558283061
17,4,"74",0,0,0,1,1,0,0,1,3,"2B6","17B6",31.3394608776697
2,1,"74",0,0,0,0,1,0,1,1,3,"2B7","2B7",21.9561079435133
7,2,"74",0,0,0,0,1,0,1,1,3,"2B7","7B7",20.3184214196411
12,3,"74",0,0,0,0,1,0,1,1,3,"2B7","12B7",19.4779497927181
17,4,"74",0,0,0,0,1,0,1,1,3,"2B7","17B7",21.7981482747191
2,1,"74",1,1,1,0,0,0,0,1,4,"2B8","2B8",26.8856425819371
7,2,"74",1,1,1,0,0,0,0,1,4,"2B8","7B8",25.6838285414643
12,3,"74",1,1,1,0,0,0,0,1,4,"2B8","12B8",25.7983565128787
17,4,"74",1,1,1,0,0,0,0,1,4,"2B8","17B8",31.3938433379767
2,1,"74",1,1,0,0,1,0,1,0,4,"2B9","2B9",22.1323042986224
7,2,"74",1,1,0,0,1,0,1,0,4,"2B9","7B9",18.516090118371
12,3,"74",1,1,0,0,1,0,1,0,4,"2B9","12B9",19.0339890682483
17,4,"74",1,1,0,0,1,0,1,0,4,"2B9","17B9",20.3591148449248
2,1,"74",1,0,1,1,0,0,1,0,4,"2C10","2C10",29.439309229497
7,2,"74",1,0,1,1,0,0,1,0,4,"2C10","7C10",28.8079469539787
12,3,"74",1,0,1,1,0,0,1,0,4,"2C10","12C10",22.6583501395727
17,4,"74",1,0,1,1,0,0,1,0,4,"2C10","17C10",23.7592449252482
2,1,"74",1,0,1,0,0,1,0,1,4,"2C11","2C11",25.4445855635405
7,2,"74",1,0,1,0,0,1,0,1,4,"2C11","7C11",26.1443087571165
12,3,"74",1,0,1,0,0,1,0,1,4,"2C11","12C11",27.2827221362766
17,4,"74",1,0,1,0,0,1,0,1,4,"2C11","17C11",30.0121261778247
2,1,"74",0,1,1,0,0,0,0,1,3,"2C2","2C2",27.6361820408007
7,2,"74",0,1,1,0,0,0,0,1,3,"2C2","7C2",23.5862300694996
12,3,"74",0,1,1,0,0,0,0,1,3,"2C2","12C2",23.5116227209365
17,4,"74",0,1,1,0,0,0,0,1,3,"2C2","17C2",29.3151624429826
2,1,"74",0,1,0,0,1,0,1,0,3,"2C3","2C3",22.4480293925984
7,2,"74",0,1,0,0,1,0,1,0,3,"2C3","7C3",18.2628556286984
12,3,"74",0,1,0,0,1,0,1,0,3,"2C3","12C3",18.2369354277676
17,4,"74",0,1,0,0,1,0,1,0,3,"2C3","17C3",20.4743656160387
2,1,"74",0,0,1,1,0,1,0,0,3,"2C4","2C4",37.0846631407487
7,2,"74",0,0,1,1,0,1,0,0,3,"2C4","7C4",33.6423828660824
12,3,"74",0,0,1,1,0,1,0,0,3,"2C4","12C4",25.3416522082066
17,4,"74",0,0,1,1,0,1,0,0,3,"2C4","17C4",28.2263611518873
2,1,"74",0,0,1,0,0,1,1,0,3,"2C5","2C5",28.1529080329426
7,2,"74",0,0,1,0,0,1,1,0,3,"2C5","7C5",29.5625601413093
12,3,"74",0,0,1,0,0,1,1,0,3,"2C5","12C5",23.3709961102872
17,4,"74",0,0,1,0,0,1,1,0,3,"2C5","17C5",26.1368731989388
2,1,"74",0,0,0,1,0,1,1,0,3,"2C6","2C6",22.6285573348195
7,2,"74",0,0,0,1,0,1,1,0,3,"2C6","7C6",28.8446753067436
12,3,"74",0,0,0,1,0,1,1,0,3,"2C6","12C6",24.9805611243796
17,4,"74",0,0,0,1,0,1,1,0,3,"2C6","17C6",28.6016617631241
2,1,"74",0,0,0,0,0,1,1,1,3,"2C7","2C7",21.2410816135783
7,2,"74",0,0,0,0,0,1,1,1,3,"2C7","7C7",22.0424442237845
12,3,"74",0,0,0,0,0,1,1,1,3,"2C7","12C7",19.6932674994288
17,4,"74",0,0,0,0,0,1,1,1,3,"2C7","17C7",22.3568613018609
2,1,"74",1,1,0,1,1,0,0,0,4,"2C8","2C8",24.6609893862713
7,2,"74",1,1,0,1,1,0,0,0,4,"2C8","7C8",22.3181480057013
12,3,"74",1,1,0,1,1,0,0,0,4,"2C8","12C8",22.5131872888235
17,4,"74",1,1,0,1,1,0,0,0,4,"2C8","17C8",23.7429153292503
2,1,"74",1,1,0,0,1,0,0,1,4,"2C9","2C9",26.7117513748539
7,2,"74",1,1,0,0,1,0,0,1,4,"2C9","7C9",24.7840183795504
