"Strain","PlateWell","Mean","SD","n","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","Strain_nice"
"100","1F2",46.2787879408024,2.00039512043239,4,0,0,0,0,1,0,0,0,1,"IL 100"
"100","1F3",48.3026010661921,0.761005849804977,4,1,0,0,1,0,0,0,0,2,"IL 100"
"100","1F3",48.3026010661921,0.761005849804977,4,1,0,0,1,0,0,0,0,2,"IL 100"
"100","1F3",48.3026010661921,0.761005849804977,4,1,0,0,1,0,0,0,0,2,"IL 100"
"100","1F3",48.3026010661921,0.761005849804977,4,1,0,0,1,0,0,0,0,2,"IL 100"
"100","1F4",47.6118003291117,0.927176502879514,4,0,1,0,1,0,0,0,0,2,"IL 100"
"100","1F4",47.6118003291117,0.927176502879514,4,0,1,0,1,0,0,0,0,2,"IL 100"
"100","1F4",47.6118003291117,0.927176502879514,4,0,1,0,1,0,0,0,0,2,"IL 100"
"100","1F4",47.6118003291117,0.927176502879514,4,0,1,0,1,0,0,0,0,2,"IL 100"
"100","1F5",45.7217253084664,1.536599431208,4,0,0,1,0,1,0,0,0,2,"IL 100"
"100","1F5",45.7217253084664,1.536599431208,4,0,0,1,0,1,0,0,0,2,"IL 100"
"100","1F5",45.7217253084664,1.536599431208,4,0,0,1,0,1,0,0,0,2,"IL 100"
"100","1F5",45.7217253084664,1.536599431208,4,0,0,1,0,1,0,0,0,2,"IL 100"
"100","1F6",45.138382246012,1.74683223852856,4,0,0,0,1,0,0,1,0,2,"IL 100"
"100","1F6",45.138382246012,1.74683223852856,4,0,0,0,1,0,0,1,0,2,"IL 100"
"100","1F6",45.138382246012,1.74683223852856,4,0,0,0,1,0,0,1,0,2,"IL 100"
"100","1F6",45.138382246012,1.74683223852856,4,0,0,0,1,0,0,1,0,2,"IL 100"
"100","1F7",46.6545214315054,1.89387664967952,3,0,0,0,0,0,1,0,1,2,"IL 100"
"100","1F7",46.6545214315054,1.89387664967952,3,0,0,0,0,0,1,0,1,2,"IL 100"
"100","1F7",46.6545214315054,1.89387664967952,3,0,0,0,0,0,1,0,1,2,"IL 100"
"100","1F8",45.4941124290043,1.68007374873741,4,1,1,0,0,0,0,1,0,3,"IL 100"
"100","1F8",45.4941124290043,1.68007374873741,4,1,1,0,0,0,0,1,0,3,"IL 100"
"100","1F8",45.4941124290043,1.68007374873741,4,1,1,0,0,0,0,1,0,3,"IL 100"
"100","1F8",45.4941124290043,1.68007374873741,4,1,1,0,0,0,0,1,0,3,"IL 100"
"100","1F9",46.330637656826,1.94727153096528,3,1,0,1,0,0,0,0,1,3,"IL 100"
"100","1F9",46.330637656826,1.94727153096528,3,1,0,1,0,0,0,0,1,3,"IL 100"
"100","1F9",46.330637656826,1.94727153096528,3,1,0,1,0,0,0,0,1,3,"IL 100"
"100","1G10",48.1330883536464,0.631767385003761,2,1,0,0,0,1,0,0,1,3,"IL 100"
"100","1G10",48.1330883536464,0.631767385003761,2,1,0,0,0,1,0,0,1,3,"IL 100"
"100","1G11",49.6366163346539,1.11929232931885,4,0,1,1,0,0,1,0,0,3,"IL 100"
"100","1G11",49.6366163346539,1.11929232931885,4,0,1,1,0,0,1,0,0,3,"IL 100"
"100","1G11",49.6366163346539,1.11929232931885,4,0,1,1,0,0,1,0,0,3,"IL 100"
"100","1G11",49.6366163346539,1.11929232931885,4,0,1,1,0,0,1,0,0,3,"IL 100"
"100","1G2",47.9300821181095,0.743746976755847,4,0,0,0,0,0,1,0,0,1,"IL 100"
"100","1G2",47.9300821181095,0.743746976755847,4,0,0,0,0,0,1,0,0,1,"IL 100"
"100","1G2",47.9300821181095,0.743746976755847,4,0,0,0,0,0,1,0,0,1,"IL 100"
"100","1G2",47.9300821181095,0.743746976755847,4,0,0,0,0,0,1,0,0,1,"IL 100"
"100","1G3",47.0005694251739,1.96338102427623,4,1,0,0,0,1,0,0,0,2,"IL 100"
"100","1G3",47.0005694251739,1.96338102427623,4,1,0,0,0,1,0,0,0,2,"IL 100"
"100","1G3",47.0005694251739,1.96338102427623,4,1,0,0,0,1,0,0,0,2,"IL 100"
"100","1G3",47.0005694251739,1.96338102427623,4,1,0,0,0,1,0,0,0,2,"IL 100"
"100","1G4",46.9730983256407,0.975837677582806,4,0,1,0,0,1,0,0,0,2,"IL 100"
"100","1G4",46.9730983256407,0.975837677582806,4,0,1,0,0,1,0,0,0,2,"IL 100"
"100","1G4",46.9730983256407,0.975837677582806,4,0,1,0,0,1,0,0,0,2,"IL 100"
"100","1G4",46.9730983256407,0.975837677582806,4,0,1,0,0,1,0,0,0,2,"IL 100"
"100","1G5",48.5507089666211,0.258142658179879,4,0,0,1,0,0,1,0,0,2,"IL 100"
"100","1G5",48.5507089666211,0.258142658179879,4,0,0,1,0,0,1,0,0,2,"IL 100"
"100","1G5",48.5507089666211,0.258142658179879,4,0,0,1,0,0,1,0,0,2,"IL 100"
"100","1G5",48.5507089666211,0.258142658179879,4,0,0,1,0,0,1,0,0,2,"IL 100"
